Subject,MONETARY_dprime_loglinear,SOCIAL_dprime_loglinear,MONETARY_dprime_snodgrass,SOCIAL_dprime_snodgrass
s4222,-0.008670316079074841,0.18529690156656245,-0.009106056480087416,0.19108414785878208
s4272,0.07784338919370715,0.42485498257403165,0.07728246342177658,0.4370669448769726
s4326,0.5764720600079314,-0.29572269945216134,0.5910857552905513,-0.30298044805620655
s4331,-0.09365583634881819,0.14377998533573355,-0.095408592381245,0.15082967977723216
s4342,0.06821194305608236,-0.08772552216959073,0.06810198485249286,-0.11728502664130214
s4345,0.4155425699075779,-0.04157114185023014,0.42582345658589255,-0.04377886798254249
s4347,0.11847612435318519,0.005443723295571225,0.12139228084618466,0.005707103584839529
s4348,0.19127347007833112,0.20073077957564645,0.19631204471497285,0.20546440906712385
s4351,0.4344949484042057,-0.24881930407956973,0.4463007088930211,-0.25530305890414734
s4361,0.10679183984380491,-0.014689230737963799,0.10929210537720901,-0.01901123971796259
s4362,0.1289730133052684,0.058326735272993036,0.13242946361290922,0.05971709978532289
s4417,-0.39592565910598637,0.038729419982994895,-0.406790301959134,0.03995596654715572
s4418,0.6407376191672722,0.3149353468875299,0.6708437270450578,0.3252046893982762
s4419,0.6015276427391131,0.058326735272993174,0.6168486837213962,0.05971709978532289
s4423,0.3406948270877956,0.19198629970125314,0.3487556955170447,0.21839250612306027
s4427,-0.1573106846101707,0.308892775007113,-0.16137904273423911,0.3171882008888491
s4429,0.3854994132378309,0.26240376446996727,0.40147274416883805,0.2759319161347671
s4436,0.3532426227153447,-0.5766064376515667,0.36536925036312917,-0.5921063420296966
s4440,0.4557288443968438,0.39616692889150007,0.4708612842810464,0.4061916104505548
s4446,0.1573106846101707,0.057258873855298265,0.16137904273423911,0.061826167180047964
s4447,0.18826586917127686,-0.06848517208112692,0.1921984239146302,-0.07593354646786821
s4449,0.5932732084356117,-0.12540769459796786,0.6116262379506696,-0.13113367573200685
s4450,0.17886995273582948,0.2004767618681268,0.18333233501636437,0.2067568616669197
s4459,-0.07615498422369116,0.025141514047450686,-0.07919557535388555,0.024949111206837182
s4475,0.09409257872249359,0.19178227869884362,0.09651037833195293,0.1980855207032462
s4482,1.066067902555237,0.48347595158211953,1.0949606967240324,0.4979232683442794
s4531,0.3346395216475505,0.5676442288825094,0.3443881429153357,0.5817464608131516
s454,-0.10370024227875896,0.25671621033787595,-0.10824643650585086,0.2630289844947435
s4631,-0.058326735272993174,0.6420313479473718,-0.05971709978532289,0.6584982270555749
s4643,0.4155425699075779,-0.06458338608337011,0.42582345658589255,-0.0664732713860966
s4650,0.5914238595667147,-0.005431489699428582,0.6143407375630217,-0.004904719089250498
s523,0.03655113432974397,-0.11685274671633186,0.0376430035311926,-0.11964811303984217
s578,0.012308306128118188,0.26587745653292194,0.012906881382509991,0.27240704823530026
s601,-0.11994057843649308,0.30036827056556975,-0.12296807826350159,0.30783436594034064
s606,0.5925447057041016,-0.11685274671633186,0.6071467506865966,-0.11964811303984217
s673,0.5430016312957743,0.04154544500075055,0.5569176704668769,0.042864492468482174
s692,-0.38027261010146524,0.23940436352038946,-0.3903526062344404,0.2452780317775567
s701,-0.12897301330526836,0.1348273043665874,-0.13242946361290922,0.13862699417167004
s730,0.403666427432102,0.4057037804605783,0.4477508450997294,0.4491686465870399
s745,0.06207991840681132,-0.4468581857103472,0.06462094249488765,-0.45794118975479203
s807,0.30007074532368727,0.4026936215974977,0.3074749369668042,0.41302934516103545
s820,-0.08966367620486008,0.048535932707648555,-0.09185774646633507,0.04947407326913372
s858,0.12235082207710223,-0.23410885628866143,0.1254135558864277,-0.239729469578028
s926,0.35852353763877454,0.29446122776267625,0.3695877269991619,0.3020834488050853
test1,-0.1825549876683408,0.058326735272993036,-0.18898184205750113,0.05971709978532289
