Subject,encoding_social_rt_mean,encoding_social_rt_median,encoding_social_n_trials,encoding_monetary_rt_mean,encoding_monetary_rt_median,encoding_monetary_n_trials,recall_social_rt_mean,recall_social_rt_median,recall_social_n_trials,recall_monetary_rt_mean,recall_monetary_rt_median,recall_monetary_n_trials
s4531,1.645128011908604,1.6609862999757752,42,1.2838065690427487,1.269182299991371,42,1.6256269180736258,1.5410253999871202,83,1.4202332487826734,1.373438049980905,82
s454,1.6838880650044303,1.6838414999947418,40,1.7611306357125396,1.792093449999811,42,1.9325419036167988,2.05684040003689,83,1.9605312337327456,2.107178699981887,83
s4631,1.676227135004592,1.8194308000383899,40,1.7707034833313497,1.8110511499689892,42,1.7623031345673228,1.9239300000481308,81,1.909991256100489,2.0476851000566967,82
s4643,1.3701725214279057,1.344102600007318,42,1.6804701476163852,1.710401800024556,42,1.62721322381237,1.6068561499996576,84,1.7543434642894205,1.78195410000626,84
s4650,1.8147872975593,1.7850253999931738,41,1.781250200002909,1.8854671000153758,42,2.0050457851863523,2.173025799973402,81,1.8879171098808092,1.924636100011412,81
s523,1.8296968642902183,1.7604250499862246,42,1.8510998523838462,1.8354709999985062,42,1.8452393785812005,1.882229049981106,84,1.964449298799498,1.973875700030476,83
s578,,,0,,,0,1.8074839397681406,1.8235893999226391,83,1.542510442857054,1.5661620500031859,84
s601,1.5012754829339228,1.5187210000585765,41,1.6930977500132507,1.7351679500425234,42,1.6549430035769805,1.6403621999779716,84,1.7136634071343688,1.7235502999974415,84
s606,,,0,,,0,1.7127595595278156,1.7329281500424258,84,1.53956427059602,1.5071885000215843,85
s673,1.7194844119284036,1.7106943001272157,42,1.6716597262004922,1.7026273501105607,42,1.9996862686744117,2.0746730999089777,83,1.816996384707882,1.7569283000193536,85
s692,1.7412790595138046,1.7364429999724962,42,1.6792058452542515,1.7283598000067286,42,1.6258368707395432,1.5816232000361197,82,1.494884184145698,1.3742072999593802,82
s701,1.7118341452386674,1.7196648500103038,42,1.328782449997518,1.3282381000171881,42,1.8962898804854442,1.8986777499667369,82,1.7795944761892315,1.7995856500056107,84
s730,1.532319617500002,1.550688600000285,40,1.4433374124999319,1.33341025000027,40,1.501179149397673,1.5900376999998116,83,1.726174364102544,1.8087830999998007,78
s745,,,0,,,0,1.5556296619068322,1.6059949500486255,84,1.5112488530849302,1.5571907999692485,81
s807,,,0,,,0,1.8691753172761196,2.10729239997454,81,1.9678295710859035,2.140875500044785,83
s820,1.4244906547579117,1.369059799995739,42,1.2683535380929243,1.2445754499931354,42,1.32778741852136,1.2582502999575809,81,0.9417207361464052,0.7898014000384137,83
s858,,,0,,,0,1.8984787273807993,1.9485507999997935,84,1.9141556724998736,1.9320969999989757,80
s926,,,0,,,0,1.8400102916665284,1.8324608999992051,84,1.7437981542168117,1.7573297000017192,83
